Frame,Speed
0,1445.8614923359335
1,1707.4306484464864
2,1428.3860955022196
3,1578.020381472561
4,1555.357042572481
5,1607.0177863546573
6,1547.3848887012214
7,1573.030449432876
8,1575.0838245464406
9,1565.5450426139187
10,1532.773775448361
11,1540.3234002330144
12,1539.497102328279
13,1534.083717024767
14,1525.7272865533207
15,1556.8672190539542
16,1537.673884228359
17,1528.7796487301155
18,1530.6844045026987
19,1536.641346301302
20,1520.7994827371117
21,1533.314581203387
22,1555.3024880703222
23,1545.7479417744132
24,1555.1904059632748
25,1547.9015852691716
26,1562.2824510244327
27,1555.261535734601
28,1564.0581964244561
29,1543.6470372918307
30,1533.5552497140538
31,1545.074570303345
32,1574.3462927138348
33,1543.1570266120634
34,1563.5795802950097
35,1547.7536305816996
36,1553.8139456625458
37,1530.1271221852542
38,1567.137413547574
39,1578.156744254577
40,1599.9699328554257
41,1606.5053831552045
42,1604.4886745722547
43,1580.8291665400795
44,1569.5103381160047
45,1535.0728179259509
46,1539.0903415721727
47,1527.56423212264
48,1563.5500816046392
49,1558.3382477572966
50,1569.6580554979996
51,1573.623924059008
52,1589.9529483648855
53,1546.8572884860926
54,1527.9005831067816
55,1530.9568468020198
56,1560.236486075467
57,1539.424539404526
58,1568.9625702116366
59,1566.376169435278
60,1580.5631747166367
61,1521.9437020193623
62,1560.3197796097982
63,1535.5923638320535
64,1575.3904473975201
65,1556.7997812106482
66,1598.1816631207294
67,1533.2394050748808
68,1565.5861650035015
69,1511.1781121851175
70,1565.418695141389
71,1522.357778572078
72,1595.5023722416495
73,1540.78231628139
74,1560.2976902597827
75,1524.3603224302615
76,1569.7945950868527
77,1510.1014568963299
78,1560.759168801196
79,1539.993213386826
80,1596.412646087429
81,1548.2530469508602
82,1597.287544699973
83,1546.5765531674704
84,1609.1736482310894
85,1548.7310880560403
86,1576.8011705740955
87,1517.3721516079895
88,1568.45992641659
89,1523.1964801516729
90,1524.8031074656349
91,1483.6249171093089
92,1522.3289944585
